english,german,notes,Status
%@ glove,%@ Handschuh,From Localizable.xcstrings; review,available
%lld,%lld,From Localizable.xcstrings; review,available
%lld glove(s) ready,%lld Handschuh(e) bereit,From Localizable.xcstrings; review,available
%lld%%,%lld%%,From Localizable.xcstrings; review,available
😄,😄,From Localizable.xcstrings; review,available
😐,😐,From Localizable.xcstrings; review,available
😣,😣,From Localizable.xcstrings; review,available
🙁,🙁,From Localizable.xcstrings; review,available
🙂,🙂,From Localizable.xcstrings; review,available
015221500869,015221500869,From Localizable.xcstrings; review,available
2 h,2 h,From Localizable.xcstrings; review,available
2 hours + 2 hours,2 Stunden + 2 Stunden,From Localizable.xcstrings; review,available
4 h,4 h,From Localizable.xcstrings; review,available
4 h session done,4-h-Sitzung abgeschlossen,From Localizable.xcstrings; review,available
4 hours once,Einmal 4 Stunden,From Localizable.xcstrings; review,available
Add a note,Notiz hinzufügen,From Localizable.xcstrings; review,available
Add details,Details hinzufügen,From Localizable.xcstrings; review,available
ADD NOTE,NOTIZ HINZUFÜGEN,From Localizable.xcstrings; review,available
Avatar selection will go here.,Avatar-Auswahl folgt.,From Localizable.xcstrings; review,available
Backup status,Backup-Status,From Localizable.xcstrings; review,available
Both 2 h sessions done,Beide 2-h-Sitzungen abgeschlossen,From Localizable.xcstrings; review,available
Calendar,Kalender,From Localizable.xcstrings; review,available
Cancel,Abbrechen,From Localizable.xcstrings; review,available
CHECK IN,CHECK-IN,From Localizable.xcstrings; review,available
Check-In,Check-in,From Localizable.xcstrings; review,available
Clear Event Log File,Ereignisprotokolldatei löschen,From Localizable.xcstrings; review,available
Clear event log file?,Ereignisprotokolldatei löschen?,From Localizable.xcstrings; review,available
Clear History & Fresh Scan,Verlauf löschen & neu suchen,From Localizable.xcstrings; review,available
Clear Visible Log,Sichtbares Protokoll löschen,From Localizable.xcstrings; review,available
Complete today,Heute abgeschlossen,From Localizable.xcstrings; review,available
Connect at least one glove to begin,"Verbinden Sie mindestens einen Handschuh, um zu beginnen.",Session instruction,available
Contact ICNS support,ICNS-Support kontaktieren,From Localizable.xcstrings; review,available
Daily Check-In,Täglicher Check-in,From Localizable.xcstrings; review,available
Daily check-ins,Tägliche Check-ins,From Localizable.xcstrings; review,available
Daily Log,Tagesprotokoll,From Localizable.xcstrings; review,available
Data,Daten,From Localizable.xcstrings; review,available
Day timeline,Tagesverlauf,From Localizable.xcstrings; review,available
Default vCR plan,Standard-vCR-Plan,From Localizable.xcstrings; review,available
Device assignment notes,Notizen zur Gerätezuordnung,From Localizable.xcstrings; review,available
Diagnostics,Diagnostik,From Localizable.xcstrings; review,available
Disconnect,Trennen,From Localizable.xcstrings; review,available
Disconnected,Getrennt,Patient vCR glove status,available
"Duration, gloves, and session preferences","Dauer, Handschuhe und Sitzungseinstellungen",From Localizable.xcstrings; review,available
Export logs,Protokolle exportieren,From Localizable.xcstrings; review,available
Future movement tasks,Zukünftige Bewegungsaufgaben,From Localizable.xcstrings; review,available
Gloves,Handschuhe,From Localizable.xcstrings; review,available
Gloves disconnected. Turn them on and scan again to continue.,"Handschuhe getrennt. Schalten Sie sie ein und suchen Sie erneut, um fortzufahren.",Interruption message,available
Gloves reconnected. Press Resume to continue.,"Handschuhe wieder verbunden. Tippen Sie auf Fortsetzen, um weiterzumachen.",Recovery message,available
"Gloves, vCR, journal, and troubleshooting","Handschuhe, vCR, Journal und Fehlerbehebung",From Localizable.xcstrings; review,available
Great job. First vCR session complete. One more 2 h session remains today.,Gut gemacht. Die erste vCR-Sitzung ist abgeschlossen. Heute bleibt noch eine weitere 2-h-Sitzung.,Completion message,available
Great job. Your 4 h vCR session is complete for today.,Gut gemacht. Ihre 4-h-vCR-Sitzung für heute ist abgeschlossen.,From Localizable.xcstrings; review,available
Great job. Your vCR session is complete for today.,Gut gemacht. Ihre vCR-Sitzung für heute ist abgeschlossen.,Completion message,available
Hold to Stop,Zum Stoppen halten,Session action,available
How are you today?,Wie geht es Ihnen heute?,From Localizable.xcstrings; review,available
ICNS,ICNS,From Localizable.xcstrings; review,available
ID,ID,From Localizable.xcstrings; review,available
"ID, icon, and language","ID, Symbol und Sprache",From Localizable.xcstrings; review,available
"If the steps above did not solve the issue, contact ICNS support.","Wenn die Schritte oben das Problem nicht gelöst haben, kontaktieren Sie bitte den ICNS-Support.",From Localizable.xcstrings; review,available
Incorrect password,Falsches Passwort,From Localizable.xcstrings; review,available
Instructions,Anleitung,From Localizable.xcstrings; review,available
Journal,Journal,Tab title,available
Journal reminders,Journal-Erinnerungen,From Localizable.xcstrings; review,available
Keep this app open during stimulation.,Bitte lassen Sie diese App während der Stimulation geöffnet.,Patient vCR footer,available
Language,Sprache,Settings,available
Language: English / Deutsch,Sprache: English / Deutsch,From Localizable.xcstrings; review,available
Last check-in,Letzter Check-in,From Localizable.xcstrings; review,available
Last saved: %@,Zuletzt gespeichert: %@,From Localizable.xcstrings; review,available
Latest backup,Letztes Backup,From Localizable.xcstrings; review,available
Left glove,Linker Handschuh,Patient vCR glove card,available
LOG MEDICATION,MEDIKATION PROTOKOLLIEREN,From Localizable.xcstrings; review,available
"Log OFF periods, tremor, freezing, dyskinesia, or other symptom changes.","Protokollieren Sie OFF-Phasen, Tremor, Freezing, Dyskinesien oder andere Symptomveränderungen.",From Localizable.xcstrings; review,available
LOG SYMPTOM,SYMPTOM PROTOKOLLIEREN,From Localizable.xcstrings; review,available
"Log usual, late, missed, or extra medication events.","Protokollieren Sie reguläre, verspätete, ausgelassene oder zusätzliche Medikamenteneinnahmen.",From Localizable.xcstrings; review,available
Logs,Protokolle,From Localizable.xcstrings; review,available
"Logs, exports, backup, and study notes","Protokolle, Exporte, Backup und Studiennotizen",From Localizable.xcstrings; review,available
Medication,Medikation,From Localizable.xcstrings; review,available
"Mood, overall symptoms, and symptom list for this day.","Stimmung, Gesamtsymptome und Symptomliste für diesen Tag.",From Localizable.xcstrings; review,available
Need Help?,Brauchen Sie Hilfe?,Settings support,available
No check-in for this day,Kein Check-in für diesen Tag,From Localizable.xcstrings; review,available
No check-in saved yet,Noch kein Check-in gespeichert,From Localizable.xcstrings; review,available
No entries saved for this day yet.,Für diesen Tag sind noch keine Einträge gespeichert.,From Localizable.xcstrings; review,available
Not detected,Nicht erkannt,Patient vCR glove status,available
Note,Notiz,From Localizable.xcstrings; review,available
One glove disconnected. vCR continues with the connected glove.,Ein Handschuh wurde getrennt. vCR läuft mit dem verbundenen Handschuh weiter.,Interruption message,available
OPEN DAILY LOG,TAGESPROTOKOLL ÖFFNEN,From Localizable.xcstrings; review,available
Open iPhone Language Settings,iPhone-Spracheinstellungen öffnen,Settings action,available
OPEN TODAY'S LOG,HEUTIGES PROTOKOLL ÖFFNEN,From Localizable.xcstrings; review,available
Optional note,Optionale Notiz,From Localizable.xcstrings; review,available
Overall symptom intensity,Gesamte Symptomstärke,From Localizable.xcstrings; review,available
Password,Passwort,From Localizable.xcstrings; review,available
Patient,Patient,From Localizable.xcstrings; review,available
Patient ID,Patienten-ID,From Localizable.xcstrings; review,available
Patient notes,Teilnehmernotizen,From Localizable.xcstrings; review,available
Patients complete one 4-hour vCR session per day.,Patienten absolvieren eine 4-stündige vCR-Sitzung pro Tag.,From Localizable.xcstrings; review,available
Patients complete two separate 2-hour vCR sessions per day.,Patienten absolvieren zwei getrennte 2-stündige vCR-Sitzungen pro Tag.,From Localizable.xcstrings; review,available
Pause,Pausieren,Session action,available
Paused,Pausiert,Session state,available
Permissions,Berechtigungen,From Localizable.xcstrings; review,available
"Permissions, storage, and data handling","Berechtigungen, Speicher und Datenverwaltung",From Localizable.xcstrings; review,available
